"ID","Population"
"ix8217","Ashkenazi Jews"
"my9702","Ashkenazi Jews"
"vg9710","Ashkenazi Jews"
"uk7166","Ashkenazi Jews"
"uj3449","Ashkenazi Jews"
"fg0656","Ashkenazi Jews"
"iq8025","Ashkenazi Jews"
"uv4385","Ashkenazi Jews"
"ud5978","Ashkenazi Jews"
"zy1874","Ashkenazi Jews"
"bh4888","Ashkenazi Jews"
"cs3134","Ashkenazi Jews"
"pt0189","Ashkenazi Jews"
"lk8701","Ashkenazi Jews"
"vh8406","Ashkenazi Jews"
"mv8509","Ashkenazi Jews"
"tk1402","Ashkenazi Jews"
"is8601","Ashkenazi Jews"
"lm9335","Ashkenazi Jews"
"ae5435","Ashkenazi Jews"
"si4666","Ashkenazi Jews"
"zu2280","Ashkenazi Jews"
"os5380","Ashkenazi Jews"
"pv8940","Ashkenazi Jews"
"jb9324","Ashkenazi Jews"
"ug8185","Ashkenazi Jews"
"cj1682","Ashkenazi Jews"
"qx5314","Ashkenazi Jews"
"jc7483","Ashkenazi Jews"
"ne0263","Ashkenazi Jews"
"ve3384","Ashkenazi Jews"
"le5530","Ashkenazi Jews"
"zo9795","Ashkenazi Jews"
"au9801","Ashkenazi Jews"
"ns0664","Ashkenazi Jews"
"eg1137","Ashkenazi Jews"
"ir4106","Ashkenazi Jews"
"xo4023","Ashkenazi Jews"
"ep0758","Ashkenazi Jews"
"or7643","Ashkenazi Jews"
"pb4487","Ashkenazi Jews"
"lt4669","Mountain Jews"
"yb9164","Mountain Jews"
"ie6550","Mountain Jews"
"mj7901","Mountain Jews"
"sr8451","Mountain Jews"
"si9053","Mountain Jews"
"uk6945","Mountain Jews"
"ef7945","Mountain Jews"
"jo5609","Mountain Jews"
"to6472","Mountain Jews"
"dd0316","Mountain Jews"
"wq3405","Mountain Jews"
"ox8941","Mountain Jews"
"ks1445","Mountain Jews"
"py6099","Mountain Jews"
"qo2584","Mountain Jews"
"pf8781","Mountain Jews"
"su2112","Mountain Jews"
"zh5668","Mountain Jews"
"ou5965","Mountain Jews"
"dl5910","Mountain Jews"
"bb0940","Mountain Jews"
"jl3474","Mountain Jews"
"xs4672","Mountain Jews"
"jt4748","Mountain Jews"
"dj8214","Mountain Jews"
"bv3579","Mountain Jews"
"dd5489","Mountain Jews"
"cs5352","Mountain Jews"
"wn1931","Mountain Jews"
"ri6192","Mountain Jews"
"cg0265","Mountain Jews"
"yd6564","Mountain Jews"
"fw2738","Mountain Jews"
"nf2060","Mountain Jews"
"rj4147","Mountain Jews"
"ap3560","Mountain Jews"
"pk4099","Mountain Jews"
"ej9103","Mountain Jews"
"bn6449","Mountain Jews"
"nc6056","Mountain Jews"
"wf7366","Mountain Jews"
"tx9294","Mountain Jews"
"ri8586","Mountain Jews"
"gx8567","Mountain Jews"
"ao4874","Mountain Jews"
"vs4064","Mountain Jews"
"za4502","Mountain Jews"
"cz0355","Georgian Jews"
"ax5210","Georgian Jews"
"jx9106","Georgian Jews"
"av1955","Georgian Jews"
"hp9844","Georgian Jews"
"nr9419","Georgian Jews"
"nc1537","Georgian Jews"
"kl9502","Georgian Jews"
"nx1575","Georgian Jews"
"cw1356","Georgian Jews"
"fu3787","Georgian Jews"
"wp1103","Georgian Jews"
"vz8562","Georgian Jews"
"jv1493","Georgian Jews"
